threshold,precision,recall,f1
0.4194715917110443,0.14166666666666666,0.9444444444444444,0.24637681159420294
0.4194355905056,0.14162596954898019,0.9444444444444444,0.2463152635523358
0.41914451122283936,0.14158529580700746,0.9444444444444444,0.24625374625374624
0.4190690815448761,0.1415446454206144,0.9444444444444444,0.2461922596754057
0.41899245977401733,0.14150401836969,0.9444444444444444,0.24613080379430852
0.4189785420894623,0.14146341463414633,0.9444444444444444,0.2460693785874719
0.4189031720161438,0.14142283419391852,0.9444444444444444,0.24600798403193608
0.4188709855079651,0.14138227702896472,0.9444444444444444,0.24594662010476426
0.41883713006973267,0.14134174311926606,0.9444444444444444,0.2458852867830424
0.41879433393478394,0.1413012324448266,0.9444444444444444,0.2458239840438793
0.41877928376197815,0.14126074498567334,0.9444444444444444,0.2457627118644068
0.4186866879463196,0.1412202807218562,0.9444444444444444,0.24570147022177924
0.4184836149215698,0.14117983963344788,0.9444444444444444,0.24564025909317388
0.41846683621406555,0.14113942170054394,0.9444444444444444,0.24557907845579077
0.4184645712375641,0.14109902690326273,0.9444444444444444,0.24551792828685254
0.4183061122894287,0.14105865522174535,0.9444444444444444,0.24545680856360463
0.4181142747402191,0.1410183066361556,0.9444444444444444,0.2453957192633151
0.4180264174938202,0.14097798112668,0.9444444444444444,0.2453346603632744
0.4180225133895874,0.14093767867352772,0.9444444444444444,0.24527363184079598
0.41781237721443176,0.14089739925693054,0.9444444444444444,0.24521263367321564
0.4177979826927185,0.14085714285714285,0.9444444444444444,0.2451516658378916
0.41775795817375183,0.14081690945444159,0.9444444444444444,0.2450907283122048
0.4176281690597534,0.1407766990291262,0.9444444444444444,0.24502982107355864
0.4174444079399109,0.1407365115615187,0.9444444444444444,0.2449689440993789
0.4174349009990692,0.14069634703196346,0.9444444444444444,0.24490809736711372
0.4173854887485504,0.14065620542082738,0.9444444444444444,0.24484728085423393
0.4173182249069214,0.1406160867084997,0.9444444444444444,0.24478649453823234
0.4171389639377594,0.14057599087539208,0.9444444444444444,0.2447257383966245
0.41704946756362915,0.14053591790193842,0.9444444444444444,0.24466501240694788
0.4169418513774872,0.14049586776859505,0.9444444444444444,0.2446043165467626
0.41691142320632935,0.14045584045584045,0.9444444444444444,0.24454365079365079
0.4167398512363434,0.14041583594417545,0.9444444444444444,0.24448301512521697
0.41666379570961,0.14037585421412302,0.9444444444444444,0.24442240951908778
0.4165051281452179,0.1403358952462283,0.9444444444444444,0.24436183395291203
0.416460782289505,0.14029595902105862,0.9444444444444444,0.24430128840436074
0.4164079427719116,0.14025604551920343,0.9444444444444444,0.2442407728511271
0.4162820875644684,0.1402161547212742,0.9444444444444444,0.24418028727092622
0.41619524359703064,0.14017628660790446,0.9444444444444444,0.2441198316414954
0.4161485731601715,0.1404206935758954,0.946360153256705,0.24455445544554458
0.41613495349884033,0.14038078999715828,0.946360153256705,0.2444939371442712
0.4160621166229248,0.1403409090909091,0.946360153256705,0.24443344878772885
0.4160207211971283,0.14030105083783015,0.946360153256705,0.24437299035369775
